Country code	Sector code	Area	Production	Green water intensity	Blue water intensity	Grey water intensity	Total green water	Total blue water	Total grey water
"AUT"	"oils"	"159,160"	"386,856"	"2,255"	"22"	"156"	"873"	"8"	"60"
"AUT"	"ipot"	"23,760"	"697,931"	"114"	"15"	"21"	"80"	"10"	"15"
"AUT"	"leaf"	"5,610"	"186,580"	"203"	"48"	"32"	"38"	"9"	"6"
"AUT"	"vege"	"9,970"	"384,158"	"181"	"4"	"51"	"69"	"1"	"20"
"AUT"	"sugr"	"31,250"	"2,150,192"	"227"	"14"	"32"	"487"	"30"	"68"
"AUT"	"toba"	"0"	"0"	""	""	""	"0"	"0"	"0"
"AUT"	"cott"	"1,580"	"6,640"	"1,418"	"0"	"0"	"9"	"0"	"0"
"AUT"	"nuts"	"170"	"8,028"	"2,836"	"126"	"0"	"23"	"1"	"0"
"AUT"	"frui"	"59,020"	"919,350"	"210"	"23"	"13"	"193"	"21"	"12"
"AUT"	"ocrp"	"250"	"460"	"5,930"	"145"	"13"	"3"	"0"	"0"
"AUT"	"catt"	"0"	"233,723"	"4,144"	"64"	"324"	"969"	"15"	"76"
"AUT"	"milk"	"0"	"3,859,989"	"371"	"16"	"52"	"1,432"	"62"	"201"
"AUT"	"poul"	"0"	"160,361"	"1,281"	"18"	"251"	"205"	"3"	"40"
"AUT"	"eggs"	"0"	"127,585"	"1,165"	"19"	"232"	"149"	"2"	"30"
"AUT"	"smlr"	"0"	"7,329"	"1,547"	"285"	"0"	"11"	"2"	"0"
